dataset,mode,base_mse,rcaf_mse,improvement
ETTh1,blackbox,7.365777122346978,6.702780179652963,9.001045397946584
ETTm1,blackbox,2.8085437110762617,2.6624042072025365,5.203390757187934
ETTm2,blackbox,15.5965175121473,15.171134247817053,2.727424657452782
Weather,blackbox,138.22770558068385,134.02653063720726,3.039314677059695
