dataset,pred_len,base_crps,rcaf_crps,improvement,n_windows
ETTm2,96,0.1410693644283031,0.0745104842247588,47.18166872962137,244
ETTm2,336,-0.18979757265337496,-0.21580205817098633,-13.70116864724242,69
Weather,96,-0.5588871291559984,-0.38218806788452653,31.616233771264934,104
Weather,336,-1.488532642308127,-0.980858133918415,34.10570208272417,29
ETTh1,96,-0.238196745823132,-0.2289477898214614,3.882906111798102,57
ETTh1,336,-0.08013315485893847,-0.008591157700201218,89.27889746095163,16
ECL,96,-9.397228363798314,-10.89074858235123,-15.893199151214867,49
ECL,336,-13.892893981933582,-24.116297594273707,-73.5872858861135,14
