dataset,k,improvement,overhead_x
ETTm2,3,3.8498809176684667,5
ETTm2,5,3.355338117697794,7
ETTm2,7,4.763684028098728,9
Weather,3,7.658060728251765,5
Weather,5,9.79799164098178,7
Weather,7,9.751792588923621,9
ETTh1,3,8.871414353151096,5
ETTh1,5,7.777000655613348,7
ETTh1,7,8.761513546203327,9
