dataset,mean_agreement,high_agreement_frac,improvement,base_mse,mean_gate
ETTm2,0.797619104385376,0.8645833333333334,8.743049747507309,3.3481433391571045,0.7834820747375488
ETTm2,0.6696429252624512,0.7395833333333334,40.373968123222134,3.4395172595977783,0.6264881491661072
ETTm2,0.5297619700431824,0.53125,11.876267439861172,5.6793646812438965,0.4605654776096344
ETTm2,0.419642835855484,0.2708333333333333,-2.6135877794974243,2.320342779159546,0.2537202537059784
ETTm2,0.4732142388820648,0.3541666666666667,-2.2914170707678343,13.025581359863281,0.3221726417541504
ETTm2,0.6279761791229248,0.4270833333333333,15.553641616429434,7.978879928588867,0.4345238208770752
ETTm2,0.4017857015132904,0.19791666666666666,-2.303436485454252,57.396575927734375,0.196428582072258
ETTm2,0.3869047164916992,0.125,3.3925323771293066,48.68961715698242,0.1413690447807312
ETTm2,0.25,0.03125,36.584272453351005,0.20067556202411652,0.046875
ETTm2,0.723214328289032,0.6875,4.008625933815318,12.334290504455566,0.6465773582458496
ETTm2,0.389880895614624,0.3229166666666667,-8.401098036333089,4.058048248291016,0.2886904776096344
ETTm2,0.4970238208770752,0.4583333333333333,16.148811427758407,6.989015102386475,0.3861607611179352
ETTm2,0.4047619104385376,0.2604166666666667,22.221711730733286,1.472929835319519,0.2328869104385376
ETTm2,0.3630951941013336,0.13541666666666666,10.437860952503355,9.16280460357666,0.1450892835855484
ETTm2,0.4077381193637848,0.25,2.294625407679506,12.601895332336426,0.2269345372915268
ETTm2,0.7291666865348816,0.7708333333333334,-21.411719265763725,0.6360978484153748,0.6912202835083008
ETTm2,0.5238096117973328,0.4375,3.621445611753884,4.8586626052856445,0.4017857015132904
ETTm2,0.5178571343421936,0.4375,-6.547306536532209,3.0124356746673584,0.4107142984867096
ETTm2,0.3422619104385376,0.25,-2.1255455830516197,1.8401299715042114,0.223958358168602
ETTm2,0.6726190447807312,0.6979166666666666,2.3057978795810534,6.282833099365234,0.6183035969734192
ETTm2,0.589285671710968,0.5,7.629332953924729,3.799618721008301,0.4598214328289032
ETTm2,0.7321429252624512,0.6770833333333334,2.49408567402893,6.775820255279541,0.645089328289032
ETTm2,0.5446427464485168,0.3333333333333333,5.367054816260406,9.240772247314453,0.3430059850215912
ETTm2,0.288690447807312,0.17708333333333334,-0.5247149054869594,23.991973876953125,0.1502976268529892
ETTm2,0.2291666716337204,0.10416666666666667,2.023595994772299,37.59296798706055,0.0885416641831398
ETTm2,0.255952388048172,0.0,-3.711066165593931,13.238929748535156,0.02827380783855915
ETTm2,0.6904762387275696,0.8645833333333334,28.202045812342092,11.81619930267334,0.7046130299568176
ETTm2,0.7797619700431824,0.7604166666666666,16.367519721488712,1.1633914709091187,0.7254464030265808
ETTm2,0.3541666567325592,0.21875,4.160859128591066,36.45426559448242,0.1934524029493332
ETTm2,0.6994047164916992,0.78125,19.29029821932482,34.443843841552734,0.6800594925880432
ETTm2,0.4464285373687744,0.22916666666666666,3.569278087007667,24.366249084472656,0.2232142835855484
ETTm2,0.7648809552192688,0.7916666666666666,-36.331813662352175,1.7630548477172852,0.7433035373687744
ETTm2,0.8541666865348816,0.8541666666666666,10.265175726168419,22.009428024291992,0.828125
ETTm2,0.6875000596046448,0.78125,16.415425309483652,4.934863567352295,0.6666666865348816
ETTm2,0.6904762387275696,0.8333333333333334,9.810182490909318,23.984575271606445,0.6845237612724304
ETTm2,0.241071417927742,0.020833333333333332,-0.1017484460735048,8.542179107666016,0.0379464291036129
ETTm2,0.526785671710968,0.4479166666666667,-0.21190487166653182,4.16211462020874,0.3839285671710968
ETTm2,0.4910714626312256,0.3854166666666667,0.7735127502188104,8.879700660705566,0.3482142984867096
ETTm2,0.3630951941013336,0.0,9.416136768699086,6.283786773681641,0.0550595186650753
ETTm2,0.5625,0.6145833333333334,14.135566366844193,32.236141204833984,0.5148809552192688
ETTm2,0.7619047164916992,0.78125,11.128160671696797,8.322691917419434,0.7165179252624512
ETTm2,0.574404776096344,0.6145833333333334,2.600775933350028,13.619874000549316,0.5163690447807312
ETTm2,0.5505952835083008,0.59375,14.681478382414435,2.6326684951782227,0.4895833432674408
ETTm2,0.3095238506793976,0.020833333333333332,-11.154375587570014,4.772013187408447,0.0550595186650753
ETTm2,0.5952381491661072,0.6979166666666666,19.250076977973585,16.94382095336914,0.5632440447807312
ETTm2,0.5803571343421936,0.5520833333333334,8.652358654058254,16.556631088256836,0.492559552192688
ETTm2,0.3869048058986664,0.14583333333333334,-0.14498772506149596,9.398537635803223,0.1547618955373764
ETTm2,0.577380895614624,0.4583333333333333,6.068141342056775,3.647289276123047,0.4523809850215912
ETTm2,0.5654762387275696,0.5520833333333334,10.356340510770684,2.2360622882843018,0.48586305975914
ETTm2,0.7440476417541504,0.6979166666666666,5.244831182321536,15.077518463134766,0.671875
ETTm2,0.3720238208770752,0.2916666666666667,-11.97342607245807,6.252193927764893,0.2447916865348816
ETTm2,0.2976190745830536,0.020833333333333332,2.389129086456237,0.44137337803840637,0.0520833283662796
ETTm2,0.3273809552192688,0.07291666666666667,0.00821463986999301,17.97236442565918,0.0930059477686882
ETTm2,0.6875,0.65625,8.66474895603857,42.91043472290039,0.6011905074119568
ETTm2,0.482142835855484,0.25,16.197276215806582,14.958590507507324,0.2455357313156128
ETTm2,0.6220237612724304,0.5208333333333334,-75.56163860343837,0.6537743210792542,0.5066964626312256
ETTm2,0.6071427464485168,0.3958333333333333,10.813133783858975,1.8944240808486938,0.41666674613952637
ETTm2,0.7886905074119568,0.84375,-18.301207777267706,3.0204060077667236,0.7738094925880432
ETTm2,0.5625,0.53125,-16.924841101275284,3.0282113552093506,0.4464286267757416
ETTm2,0.8928571343421936,0.9479166666666666,23.418975493008976,14.6305570602417,0.8980653882026672
