dataset,embedding,improvement
ETTh1,native_512d,6.756678328705121
ETTh1,functional_256d,10.015656204864742
ETTm1,native_512d,4.181005652360221
ETTm1,functional_256d,3.254163941091536
ETTm2,native_512d,4.649802906372312
ETTm2,functional_256d,1.8103569397176646
Weather,native_512d,8.325694341583205
Weather,functional_256d,3.706432743377736
