dataset,pred_len,base_coverage,rcaf_coverage,target,n_windows
ETTm2,96,66.36782786885246,58.072916666666664,80.0,244
ETTm2,336,51.60455486542443,43.5904071773637,80.0,69
Weather,96,68.92027243589743,59.064503205128204,80.0,104
Weather,336,48.84031198686371,41.43062397372742,80.0,29
ETTh1,96,73.15423976608187,63.02997076023392,80.0,57
ETTh1,336,54.18526785714286,44.735863095238095,80.0,16
ECL,96,75.46768707482994,61.69217687074829,80.0,49
ECL,336,62.202380952380956,49.93622448979592,80.0,14
