dataset,ungated_ret,gated_ret,gate_delta_ret,ungated_rnd,gated_rnd,gate_delta_rnd
ETTm2,5.134465981281757,4.863261180760462,-0.2712048005212946,-2.7440825800787367,-0.3610839719382147,2.382998608140522
ETTh1,7.903219959120487,7.283226518233199,-0.6199934408872876,10.571744597732332,9.723484063697295,-0.8482605340350364
Weather,9.289875328431814,8.545486992936885,-0.7443883354949286,6.656668038117271,6.4078605756009575,-0.24880746251631347
ETTm1,4.715593484195611,4.319570974194199,-0.3960225100014121,-0.7793950092654008,-0.09689317582982054,0.6825018334355804
ETTh2,1.4257881166986068,0.7781271411238566,-0.6476609755747502,5.614759615872203,4.763155026249813,-0.85160458962239
ECL,-2.8626877772015353,0.20663149895153043,3.069319276153066,-22.973717154426417,-12.70388279167213,10.269834362754287
Traffic,-36.592475551934555,-36.38285614855919,0.20961940337536333,-135.06373852055677,-94.58754598927615,40.47619253128062
