model,dataset,pred_len,baseline_mse,rcaf_mse,improvement
chronos-small,ETTh1,96,7.266900191181584,6.775899120795387,6.756678328705121
chronos-small,ETTm1,96,2.8061051439554965,2.6887817292755463,4.181005652360221
chronos-small,ETTm2,96,15.481746212472437,14.761875527127708,4.649802906372312
chronos-small,Weather,96,139.13007259025022,127.54652800916315,8.325694341583205
timesfm,ETTh1,96,9.209938501056872,7.992697304471612,13.216605045143105
timesfm,ETTm1,96,3.546967896342766,3.156175385002422,11.017650082011887
timesfm,ETTm2,96,18.398163904664948,17.257870199086366,6.197866871321081
timesfm,Weather,96,132.83242619266878,132.455681459565,0.28362406974131615
